Label,contextRef,unitRef,Dec,Prec,Lang,Value
Strategy Narrative [Text Block],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"<b>To pursue its goal, the fund primarily invests in a diversified portfolio of debt instruments that is designed to track the performance of the Barclays U.S. Government/Credit: 1-5 Years Index. </b>The fund uses the index as a guide in structuring the fund&#8217;s portfolio and selecting its investments. However, the fund is not required to invest any percentage of its assets in the securities represented in the index. Under normal circumstances, the dollar-weighted average maturity of the fund&#8217;s portfolio is not expected to exceed three years.<br/><br/>The fund normally invests at least 80% of its net assets in debt instruments of varying maturities. The fund will notify its shareholders at least 60 days before changing this policy. The fund invests primarily in investment grade instruments. The fund may invest in fixed-, variable- or floating-rate debt instruments. The fund also may invest in debt instruments of domestic and foreign issuers.<br/><br/>The fund may lend its securities to certain financial institutions to earn additional income. The fund may also invest in derivative instruments, principally futures contracts. The fund typically uses futures as a substitute for taking a position in the underlying asset or as a part of a strategy designed to reduce exposure to other risks.<br/><br/>The fund may buy and sell portfolio securities actively. If it does, its portfolio turnover rate and transaction costs will rise, which may lower fund performance and increase the likelihood of capital gain distributions."
Risk [Heading],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,<b>Principal risks </b>
Risk Narrative [Text Block],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"The fund is subject to risks, any of which could cause an investor to lose money. The fund&#8217;s principal risks include:<br/><br/><b>Market Risk. </b>Bond markets rise and fall daily. As with any investment whose performance is tied to these markets, the value of your investment in the fund will fluctuate, which means that you could lose money.<br/><br/><b>Investment Style Risk. </b>The fund invests in securities of the short-term bond market, as measured by the index. The fund is designed to follow the performance of the index during upturns as well as downturns. As a result, the fund will not take steps to reduce market exposure or lessen the effects of a declining market.<br/><br/><b>Tracking Error Risk. </b>The fund is designed to track the performance of its benchmark index, although it may not be successful in doing so. The divergence between the performance of a fund and its benchmark index, positive or negative, is called &#8220;tracking error.&#8221; Tracking error can be caused by many factors and it may be significant. For example, the fund is not required to invest any percentage of its assets in securities represented in its benchmark index and may not invest in certain securities in the benchmark index, or match the securities&#8217; weightings to the benchmark, due to regulatory, operational, custodial or liquidity constraints; corporate transactions; asset valuations; transaction costs and timing; tax considerations; and index rebalancing, which may result in tracking error.<br/><br/><b>Interest Rate Risk. </b>Interest rates will rise and fall over time. During periods when interest rates are low, the fund&#8217;s yield and total return also may be low. Changes in interest rates also may affect the fund&#8217;s share price: a sharp rise in interest rates could cause the fund&#8217;s share price to fall. The longer the fund&#8217;s duration, the more sensitive to interest rate movements its share price is likely to be.<br/><br/><b>Credit Risk. </b>The fund is subject to the risk that a decline in the credit quality of a portfolio investment could cause the fund to lose money or underperform. The fund could lose money if the issuer or guarantor of a portfolio investment fails to make timely principal or interest payments or otherwise honor its obligations.<br/><br/><b>Liquidity Risk. </b>A particular investment may be difficult to purchase or sell. The fund may be unable to sell a security at an advantageous time or price.<br/><br/><b>Derivatives Risk. </b>The fund&#8217;s use of derivative instruments involves risks different from, or possibly greater than, the risks associated with investing directly in securities and other traditional investments and could cause the fund to lose more than the principal amount invested. In addition, investments in derivatives may involve leverage, which means a small percentage of assets invested in derivatives can have a disproportionately large impact on the fund. However, these risks are less severe when the fund uses derivatives for hedging rather than to enhance the fund&#8217;s returns or as a substitute for a position or security.<br/><br/><b>Foreign Investment Risk. </b>The fund&#8217;s investments in securities of foreign issuers may involve certain risks that are greater than those associated with investments in securities of U.S. issuers. These include: risks of adverse changes in foreign economic, political, regulatory and other conditions; changes in currency exchange rates or exchange control regulations (including limitations on currency movements and exchanges); differing accounting, auditing, financial reporting and legal standards and practices; differing securities market structures; and higher transaction costs.<br/><br/><b>Leverage Risk. </b>Certain fund transactions, such as derivatives, may give rise to a form of leverage and may expose the fund to greater risk. Leverage tends to magnify the effect of any decrease or increase in the value of the fund&#8217;s portfolio securities. The use of leverage may cause the fund to liquidate portfolio positions when it would not be advantageous to do so in order to satisfy its obligations.<br/><br/><b>Securities Lending Risk. </b>Securities lending involves the risk of loss of rights in the collateral or delay in recovery of the collateral if the borrower fails to return the security loaned or becomes insolvent.<br/><br/><b>Lack of Governmental Insurance or Guarantee. </b>An investment in the fund is not a bank deposit and it is not insured or guaranteed by the Federal Deposit Insurance Corporation (FDIC) or any other government agency.<br/><br/>For more information on the risks of investing in the fund please see the &#8220;Fund details&#8221; section in the prospectus."
Bar Chart and Performance Table [Heading],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,<b>Performance </b>
Performance Narrative [Text Block],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"The bar chart below shows how the fund&#8217;s investment results have varied from year to year, and the following table shows how the fund&#8217;s average annual total returns for various periods compared to that of an index. This information provides some indication of the risks of investing in the fund. All figures assume distributions were reinvested. Keep in mind that future performance (both before and after taxes) may differ from past performance. For current performance information, please see www.schwabfunds.com/prospectus."
Annual Return 2003,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0346
Annual Return 2004,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0203
Annual Return 2005,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0154
Annual Return 2006,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0458
Annual Return 2007,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0460
Annual Return 2008,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,-0.0541
Annual Return 2009,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0242
Annual Return 2010,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0357
Annual Return 2011,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0274
Annual Return 2012,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0184
Performance Table Heading,Duration_02Apr2012_01Apr2013S000006809_Member,,,,,Average annual total returns (%) as of 12/31/12
1 Year,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0184
1 Year,Duration_02Apr2012_01Apr2013AfterTaxesOnDistributions_MemberS000006809_MemberC000018437_Member,pure,4,,,0.0150
1 Year,Duration_02Apr2012_01Apr2013AfterTaxesOnDistributionsAndSales_MemberS000006809_MemberC000018437_Member,pure,4,,,0.0119
1 Year,Duration_02Apr2012_01Apr2013S000006809_MemberBarclaysUsGovernmentCredit_Member,pure,4,,,0.0224
5 Years,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0098
5 Years,Duration_02Apr2012_01Apr2013AfterTaxesOnDistributions_MemberS000006809_MemberC000018437_Member,pure,4,,,0.0023
5 Years,Duration_02Apr2012_01Apr2013AfterTaxesOnDistributionsAndSales_MemberS000006809_MemberC000018437_Member,pure,4,,,0.0039
5 Years,Duration_02Apr2012_01Apr2013S000006809_MemberBarclaysUsGovernmentCredit_Member,pure,4,,,0.0383
10 Years,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0210
10 Years,Duration_02Apr2012_01Apr2013AfterTaxesOnDistributions_MemberS000006809_MemberC000018437_Member,pure,4,,,0.0105
10 Years,Duration_02Apr2012_01Apr2013AfterTaxesOnDistributionsAndSales_MemberS000006809_MemberC000018437_Member,pure,4,,,0.0118
10 Years,Duration_02Apr2012_01Apr2013S000006809_MemberBarclaysUsGovernmentCredit_Member,pure,4,,,0.0372
Performance Table Narrative,Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"The after-tax figures reflect the highest individual federal income tax rates in effect during the period and do not reflect the impact of state and local taxes. Your actual after-tax returns depend on your individual tax situation. In addition, after-tax returns are not relevant if you hold your fund shares through a tax-deferred arrangement, such as a 401(k) plan, IRA or other tax-advantaged account."
Bar Chart [Heading],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,Annual total returns (%) as of 12/31
Bar Chart Closing [Text Block],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,Best quarter: 2.42% Q3 2006<br/>Worst quarter: (1.58%) Q1 2008
"Portfolio Turnover, Rate",Duration_02Apr2012_01Apr2013S000006809_Member,pure,4,,,0.9200
Risk Lose Money [Text],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"The fund is subject to risks, any of which could cause an investor to lose money."
Risk Not Insured Depository Institution [Text],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,<b>Lack of Governmental Insurance or Guarantee. </b>An investment in the fund is not a bank deposit and it is not insured or guaranteed by the Federal Deposit Insurance Corporation (FDIC) or any other government agency.
Performance Information Illustrates Variability of Returns [Text],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"The bar chart below shows how the fund&#8217;s investment results have varied from year to year, and the following table shows how the fund&#8217;s average annual total returns for various periods compared to that of an index."
Performance Availability Website Address [Text],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,www.schwabfunds.com/prospectus
Performance Past Does Not Indicate Future [Text],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,Keep in mind that future performance (both before and after taxes) may differ from past performance.
Performance Table Uses Highest Federal Rate,Duration_02Apr2012_01Apr2013S000006809_Member,,,,,The after-tax figures reflect the highest individual federal income tax rates in effect during the period and do not reflect the impact of state and local taxes.
Performance Table Not Relevant to Tax Deferred,Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"Your actual after-tax returns depend on your individual tax situation. In addition, after-tax returns are not relevant if you hold your fund shares through a tax-deferred arrangement, such as a 401(k) plan, IRA or other tax-advantaged account."
"Highest Quarterly Return, Label",Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,,,,,Best quarter:
"Highest Quarterly Return, Date",Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,,,,,2006-09-30
Highest Quarterly Return,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0242
"Lowest Quarterly Return, Label",Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,,,,,Worst quarter:
"Lowest Quarterly Return, Date",Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,,,,,2008-03-31
Lowest Quarterly Return,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,-0.0158
Shareholder Fees [Table],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleShareholderFeesSchwabTotalBondMarketFund column period compact * ~</div>"
Annual Fund Operating Expenses [Table],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleAnnualFundOperatingExpensesSchwabTotalBondMarketFund column period compact * ~</div>"
"Expense Example, With Redemption [Table]",Duration_02Apr2012_01Apr2013S000006810_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleExpenseExampleTransposedSchwabTotalBondMarketFund column period compact * ~</div>"
Performance [Table],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleAverageAnnualTotalReturnsTransposedSchwabTotalBondMarketFund column period compact * ~</div>"
Bar Chart [Table],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleAnnualTotalReturnsSchwabShort-TermBondMarketFundBarChart column period compact * ~</div>"
Risk/Return [Heading],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,Schwab Total Bond Market Fund<sup>TM</sup>
Objective [Heading],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,<b>Investment objective </b>
"Objective, Primary [Text Block]",Duration_02Apr2012_01Apr2013S000006810_Member,,,,,The fund seeks high current income by tracking the performance of the Barclays U.S. Aggregate Bond Index.
Expense [Heading],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,<b>Fund fees and expenses </b>
Expense Narrative [Text Block],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,This table describes the fees and expenses you may pay if you buy and hold shares of the fund.
Expense Example [Heading],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,Example
Expense Example Narrative [Text Block],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,"This example is intended to help you compare the cost of investing in the fund with the cost of investing in other mutual funds. The example assumes that you invest $10,000 in the fund for the time periods indicated and then redeem all of your shares at the end of those time periods. The example also assumes that your investment has a 5% return each year and that the fund&#8217;s operating expenses remain the same. The figures are based on total annual fund operating expenses after expense reduction. The expenses would be the same whether you stayed in the fund or sold your shares at the end of each period. Your actual costs may be higher or lower."
"Expense Example by, Year, Caption [Text]",Duration_02Apr2012_01Apr2013S000006810_Member,,,,,"Expenses on a $10,000 investment"
Portfolio Turnover [Heading],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,Portfolio turnover
Portfolio Turnover [Text Block],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,"The fund pays transaction costs, such as commissions, when it buys and sells securities (or &#8220;turns over&#8221; its portfolio). A higher portfolio turnover may indicate higher transaction costs and may result in higher taxes when fund shares are held in a taxable account. These costs, which are not reflected in the annual fund operating expenses or in the example, affect the fund&#8217;s performance. During the most recent fiscal year, the fund&#8217;s portfolio turnover rate was 160% of the average value of its portfolio."
Strategy [Heading],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,<b>Principal investment strategies </b>
Strategy Narrative [Text Block],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,"<b>To pursue its goal, the fund primarily invests in a diversified portfolio of debt instruments that is designed to track the performance of the Barclays U.S. Aggregate Bond Index.</b> The fund uses the index as a guide in structuring the fund&#8217;s portfolio and selecting its investments. However, the fund is not required to invest any percentage of its assets in the securities represented in the index.<br/><br/>The fund normally invests at least 80% of its net assets in debt instruments of varying maturities. The fund will notify its shareholders at least 60 days before changing this policy. The fund invests primarily in investment grade instruments. The fund may invest in fixed-, variable- or floating-rate debt instruments. The fund also may invest in debt instruments of domestic and foreign issuers, including mortgage-backed or asset-backed securities.  <br/><br/>The fund may also invest in derivative instruments, principally futures contracts. The fund typically uses futures as a substitute for taking a position in the underlying asset or as a part of a strategy designed to reduce exposure to other risks.  <br/><br/>The fund may lend its securities to certain financial institutions to earn additional income. The fund also may seek to obtain market exposure to the instruments in which it invests by entering into a series of purchase and sale contracts or by using other investment techniques (such as mortgage dollar rolls).  <br/><br/>The fund may buy and sell portfolio securities actively. If it does, its portfolio turnover rate and transaction costs will rise, which may lower fund performance and increase the likelihood of capital gain distributions."
Risk [Heading],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,<b>Principal risks </b>
Shareholder Fees [Table],Duration_02Apr2012_01Apr2013S000006811_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleShareholderFeesSchwabGNMAFund column period compact * ~</div>"
Annual Fund Operating Expenses [Table],Duration_02Apr2012_01Apr2013S000006811_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleAnnualFundOperatingExpensesSchwabGNMAFund column period compact * ~</div>"
"Expense Example, With Redemption [Table]",Duration_02Apr2012_01Apr2013S000006811_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleExpenseExampleTransposedSchwabGNMAFund column period compact * ~</div>"
Performance [Table],Duration_02Apr2012_01Apr2013S000006811_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleAverageAnnualTotalReturnsTransposedSchwabGNMAFund column period compact * ~</div>"
Risk Narrative [Text Block],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,"The fund is subject to risks, any of which could cause an investor to lose money. The fund&#8217;s principal risks include:<br/><br/><b>Market Risk.</b> Bond markets rise and fall daily. As with any investment whose performance is tied to these markets, the value of your investment in the fund will fluctuate, which means that you could lose money.<br/><br/><b>Investment Style Risk.</b> The fund invests in securities of the bond market, as measured by the index. The fund is designed to follow the performance of the index during upturns as well as downturns. As a result, the fund will not take steps to reduce market exposure or lessen the effects of a declining market.<br/><br/><b>Tracking Error Risk. </b>The fund is designed to track the performance of its benchmark index, although it may not be successful in doing so. The divergence between the performance of a fund and its benchmark index, positive or negative, is called &#8220;tracking error.&#8221; Tracking error can be caused by many factors and it may be significant. For example, the fund is not required to invest any percentage of its assets in securities represented in its benchmark index and may not invest in certain securities in the benchmark index, or match the securities&#8217; weightings to the benchmark, due to regulatory, operational, custodial or liquidity constraints; corporate transactions; asset valuations; transaction costs and timing; tax considerations; and index rebalancing, which may result in tracking error.<br/><br/><b>Interest Rate Risk.</b> Interest rates will rise and fall over time. During periods when interest rates are low, the fund&#8217;s yield and total return also may be low. Changes in interest rates also may affect the fund&#8217;s share price: a sharp rise in interest rates could cause the fund&#8217;s share price to fall. The longer the fund&#8217;s duration, the more sensitive to interest rate movements its share price is likely to be.<br/><br/><b>Credit Risk.</b> The fund is subject to the risk that a decline in the credit quality of a portfolio investment could cause the fund to lose money or underperform. The fund could lose money if the issuer or guarantor of a portfolio investment fails to make timely principal or interest payments or otherwise honor its obligations.<br/><br/><b>Liquidity Risk.</b> A particular investment may be difficult to purchase or sell. The fund may be unable to sell a security at an advantageous time or price.<br/><br/><b>Prepayment and Extension Risk.</b> The fund&#8217;s investments are subject to the risk that the securities may be paid off earlier or later than expected. Either situation could cause the fund to hold securities paying lower-than-market rates of interest, which could hurt the fund&#8217;s yield or share price.<br/><br/><b>Derivatives Risk.</b> The fund&#8217;s use of derivative instruments involves risks different from, or possibly greater than, the risks associated with investing directly in securities and other traditional investments and could cause the fund to lose more than the principal amount invested. In addition, investments in derivatives may involve leverage, which means a small percentage of assets invested in derivatives can have a disproportionately large impact on the fund. However, these risks are less severe when the fund uses derivatives for hedging rather than to enhance the fund&#8217;s returns or as a substitute for a position or security.<br/><br/><b>Foreign Investment Risk. </b>The fund&#8217;s investments in securities of foreign issuers may involve certain risks that are greater than those associated with investments in securities of U.S. issuers. These include: risks of adverse changes in foreign economic, political, regulatory and other conditions; changes in currency exchange rates or exchange control regulations (including limitations on currency movements and exchanges); differing accounting, auditing, financial reporting and legal standards and practices; differing securities market structures; and higher transaction costs.<br/><br/><b>Mortgage Dollar Rolls Risk.</b> Mortgage dollar rolls are transactions in which the fund sells mortgage-backed securities to a dealer and simultaneously agrees to repurchase similar securities in the future at a predetermined price. The fund&#8217;s mortgage dollar rolls could lose money if the price of the mortgage-backed securities sold falls below the agreed upon repurchase price, or if the counterparty is unable to honor the agreement.<br/><br/><b>Leverage Risk.</b> Certain fund transactions, such as derivatives and mortgage dollar rolls, may give rise to a form of leverage and may expose the fund to greater risk. Leverage tends to magnify the effect of any decrease or increase in the value of the fund&#8217;s portfolio securities. The use of leverage may cause the fund to liquidate portfolio positions when it would not be advantageous to do so in order to satisfy its obligations.<br/><br/><b>Securities Lending Risk.</b> Securities lending involves the risk of loss of rights in the collateral or delay in recovery of the collateral if the borrower fails to return the security loaned or becomes insolvent.<br/><br/><b>Lack of Governmental Insurance or Guarantee.</b> An investment in the fund is not a bank deposit and it is not insured or guaranteed by the Federal Deposit Insurance Corporation (FDIC) or any other government agency.  <br/><br/>For more information on the risks of investing in the fund please see the &#8220;Fund details&#8221; section in the prospectus."
Bar Chart and Performance Table [Heading],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,<b>Performance </b>
Performance Narrative [Text Block],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,"The bar chart below shows how the fund&#8217;s investment results have varied from year to year, and the following table shows how the fund&#8217;s average annual total returns for various periods compared to that of an index. This information provides some indication of the risks of investing in the fund. All figures assume distributions were reinvested. Keep in mind that future performance (both before and after taxes) may differ from past performance. For current performance information, please see www.schwabfunds.com/prospectus."
Bar Chart [Heading],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,Annual total returns (%) as of 12/31
Bar Chart Closing [Text Block],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,Best quarter: 3.79% Q3 2011  <br/>Worst quarter: (2.20%) Q1 2008
Risk/Return [Heading],Duration_02Apr2012_01Apr2013S000006811_Member,,,,,Schwab GNMA Fund<sup>TM</sup>
Performance Table Heading,Duration_02Apr2012_01Apr2013S000006810_Member,,,,,Average annual total returns (%) as of 12/31/12
Objective [Heading],Duration_02Apr2012_01Apr2013S000006811_Member,,,,,<b>Investment objective </b>
"Objective, Primary [Text Block]",Duration_02Apr2012_01Apr2013S000006811_Member,,,,,The fund seeks high current income consistent with preservation of capital.
Performance Table Narrative,Duration_02Apr2012_01Apr2013S000006810_Member,,,,,"The after-tax figures reflect the highest individual federal income tax rates in effect during the period and do not reflect the impact of state and local taxes. Your actual after-tax returns depend on your individual tax situation. In addition, after-tax returns are not relevant if you hold your fund shares through a tax-deferred arrangement, such as a 401(k) plan, IRA or other tax-advantaged account."
Expense [Heading],Duration_02Apr2012_01Apr2013S000006811_Member,,,,,<b>Fund fees and expenses </b>
Expense Narrative [Text Block],Duration_02Apr2012_01Apr2013S000006811_Member,,,,,This table describes the fees and expenses you may pay if you buy and hold shares of the fund.
"Shareholder Fee, Other",Duration_02Apr2012_01Apr2013S000006810_MemberC000018438_Member,USD,INF,,,0
Shareholder Fees Caption [Text],Duration_02Apr2012_01Apr2013S000006811_Member,,,,,Shareholder fees (fees paid directly from your investment)
"Shareholder Fee, Other",Duration_02Apr2012_01Apr2013S000006811_MemberC000018440_Member,USD,INF,,,0
Shareholder Fees Caption [Text],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,Shareholder fees (fees paid directly from your investment)
Operating Expenses Caption [Text],Duration_02Apr2012_01Apr2013S000006810_Member,,,,,Annual fund operating expenses (expenses that you pay each year <br/>as a % of the value of your investment)
Management Fees (as a percentage of Assets),Duration_02Apr2012_01Apr2013S000006810_MemberC000018438_Member,pure,4,,,0.0026
Distribution and Service (12b-1) Fees,Duration_02Apr2012_01Apr2013S000006810_MemberC000018438_Member,pure,4,,,0.0000
Operating Expenses Caption [Text],Duration_02Apr2012_01Apr2013S000006811_Member,,,,,Annual fund operating expenses (expenses that you pay each year<br/> as a % of the value of your investment)
Other Expenses (as a percentage of Assets):,Duration_02Apr2012_01Apr2013S000006810_MemberC000018438_Member,pure,4,,,0.0030
Expenses (as a percentage of Assets),Duration_02Apr2012_01Apr2013S000006810_MemberC000018438_Member,pure,4,,,0.0056
Management Fees (as a percentage of Assets),Duration_02Apr2012_01Apr2013S000006811_MemberC000018440_Member,pure,4,,,0.0029
Fee Waiver or Reimbursement,Duration_02Apr2012_01Apr2013S000006810_MemberC000018438_Member,pure,4,,,-0.0027
Distribution and Service (12b-1) Fees,Duration_02Apr2012_01Apr2013S000006811_MemberC000018440_Member,pure,4,,,0.0000
